week,USJ
2013-03-24,31
2013-03-31,32
2013-04-07,71
2013-04-14,37
2013-04-21,31
2013-04-28,29
2013-05-05,24
2013-05-12,23
2013-05-19,23
2013-05-26,24
2013-06-02,26
2013-06-09,24
2013-06-16,27
2013-06-23,27
2013-06-30,33
2013-07-07,38
2013-07-14,48
2013-07-21,42
2013-07-28,43
2013-08-04,48
2013-08-11,51
2013-08-18,45
2013-08-25,44
2013-09-01,43
2013-09-08,47
2013-09-15,46
2013-09-22,41
2013-09-29,38
2013-10-06,38
2013-10-13,37
2013-10-20,41
2013-10-27,38
2013-11-03,42
2013-11-10,34
2013-11-17,32
2013-11-24,30
2013-12-01,31
2013-12-08,32
2013-12-15,32
2013-12-22,32
2013-12-29,34
2014-01-05,28
2014-01-12,27
2014-01-19,27
2014-01-26,27
2014-02-02,29
2014-02-09,24
2014-02-16,29
2014-02-23,29
2014-03-02,30
2014-03-09,35
2014-03-16,35
2014-03-23,36
2014-03-30,32
2014-04-06,24
2014-04-13,35
2014-04-20,45
2014-04-27,42
2014-05-04,35
2014-05-11,32
2014-05-18,29
2014-05-25,28
2014-06-01,28
2014-06-08,33
2014-06-15,32
2014-06-22,36
2014-06-29,44
2014-07-06,47
2014-07-13,100
2014-07-20,61
2014-07-27,49
2014-08-03,52
2014-08-10,49
2014-08-17,48
2014-08-24,48
2014-08-31,58
2014-09-07,59
2014-09-14,60
2014-09-21,55
2014-09-28,50
2014-10-05,49
2014-10-12,51
2014-10-19,51
2014-10-26,49
2014-11-02,53
2014-11-09,51
2014-11-16,52
2014-11-23,52
2014-11-30,47
2014-12-07,44
2014-12-14,37
2014-12-21,42
2014-12-28,44
2015-01-04,50
2015-01-11,44
2015-01-18,53
2015-01-25,47
2015-02-01,47
2015-02-08,46
2015-02-15,48
2015-02-22,46
2015-03-01,48
2015-03-08,48
2015-03-15,57
2015-03-22,52
2015-03-29,48
2015-04-05,39
2015-04-12,37
2015-04-19,38
2015-04-26,39
2015-05-03,38
2015-05-10,36
2015-05-17,40
2015-05-24,41
2015-05-31,38
2015-06-07,45
2015-06-14,44
2015-06-21,43
2015-06-28,47
2015-07-05,46
2015-07-12,46
2015-07-19,54
2015-07-26,47
2015-08-02,48
2015-08-09,55
2015-08-16,50
2015-08-23,55
2015-08-30,53
2015-09-06,62
2015-09-13,67
2015-09-20,63
2015-09-27,63
2015-10-04,57
2015-10-11,59
2015-10-18,55
2015-10-25,52
2015-11-01,52
2015-11-08,46
2015-11-15,42
2015-11-22,38
2015-11-29,42
2015-12-06,41
2015-12-13,41
2015-12-20,48
2015-12-27,46
2016-01-03,43
2016-01-10,46
2016-01-17,41
2016-01-24,43
2016-01-31,49
2016-02-07,44
2016-02-14,46
2016-02-21,44
2016-02-28,47
2016-03-06,54
2016-03-13,61
2016-03-20,55
2016-03-27,49
2016-04-03,42
2016-04-10,37
2016-04-17,40
2016-04-24,46
2016-05-01,47
2016-05-08,43
2016-05-15,42
2016-05-22,44
2016-05-29,47
2016-06-05,44
2016-06-12,42
2016-06-19,43
2016-06-26,46
2016-07-03,46
2016-07-10,59
2016-07-17,53
2016-07-24,50
2016-07-31,50
2016-08-07,48
2016-08-14,54
2016-08-21,52
2016-08-28,60
2016-09-04,56
2016-09-11,54
2016-09-18,54
2016-09-25,52
2016-10-02,51
2016-10-09,48
2016-10-16,57
2016-10-23,50
2016-10-30,55
2016-11-06,45
2016-11-13,47
2016-11-20,42
2016-11-27,42
2016-12-04,44
2016-12-11,44
2016-12-18,47
2016-12-25,44
2017-01-01,44
2017-01-08,42
2017-01-15,40
2017-01-22,35
2017-01-29,39
2017-02-05,43
2017-02-12,40
2017-02-19,43
2017-02-26,46
2017-03-05,46
2017-03-12,52
2017-03-19,50
2017-03-26,50
2017-04-02,44
2017-04-09,39
2017-04-16,48
2017-04-23,45
2017-04-30,48
2017-05-07,40
2017-05-14,41
2017-05-21,41
2017-05-28,45
2017-06-04,47
2017-06-11,49
2017-06-18,48
2017-06-25,49
2017-07-02,46
2017-07-09,50
2017-07-16,46
2017-07-23,53
2017-07-30,55
2017-08-06,59
2017-08-13,59
2017-08-20,60
2017-08-27,55
2017-09-03,60
2017-09-10,58
2017-09-17,59
2017-09-24,53
2017-10-01,52
2017-10-08,54
2017-10-15,49
2017-10-22,48
2017-10-29,53
2017-11-05,48
2017-11-12,46
2017-11-19,40
2017-11-26,41
2017-12-03,43
2017-12-10,39
2017-12-17,39
2017-12-24,45
2017-12-31,40
2018-01-07,36
2018-01-14,42
2018-01-21,37
2018-01-28,42
2018-02-04,43
2018-02-11,40
2018-02-18,41
2018-02-25,47
2018-03-04,46
2018-03-11,51
2018-03-18,51
