pagePath,dimension1,dateHourMinute,deviceCategory,userType,fullReferrer,sessions,goal1Completions,pageviews
/,1290351096.1603985772,202010300036,desktop,New Visitor,(direct),1,1,1
/,132927247.1604369529,202011031112,desktop,New Visitor,google,1,1,1
/,1438179680.1587801587,202011011601,desktop,Returning Visitor,(direct),1,1,1
/,206554801.1591509469,202011031037,desktop,Returning Visitor,a.hatena.ne.jp/Zhong/,1,1,1
/,208299463.1582123520,202011030936,desktop,Returning Visitor,google,1,1,1
/,252758432.1604310958,202011021855,desktop,New Visitor,(direct),1,1,1
/,390853835.1566398088,202010310056,desktop,Returning Visitor,(direct),1,1,1
/,390853835.1566398088,202011030003,desktop,Returning Visitor,(direct),1,1,1
/,390853835.1566398088,202011030106,desktop,Returning Visitor,(direct),1,1,1
/,638941915.1593176956,202010272253,desktop,Returning Visitor,t.co/ol4hy6k2fh,1,1,1
/,638941915.1593176956,202010301642,desktop,Returning Visitor,t.co/ol4hy6k2fh,1,1,1
/,638941915.1593176956,202011021906,desktop,Returning Visitor,t.co/ol4hy6k2fh,1,1,1
/,712015125.1593590720,202010272055,desktop,Returning Visitor,google,1,1,1
/,901631178.1596028556,202011021942,desktop,Returning Visitor,google,1,1,1
/?p=3910&preview=true,1438179680.1587801587,202011012224,desktop,Returning Visitor,(direct),1,0,1
/?p=3910&preview=true,1438179680.1587801587,202011031220,desktop,Returning Visitor,(direct),1,0,1
/archives/1008,2093606696.1598152809,202010311725,desktop,Returning Visitor,google,1,0,1
/archives/1031,1016247950.1604129101,202010311750,desktop,Returning Visitor,b.hatena.ne.jp/,1,0,1
/archives/1031,1134361886.1603415595,202010301816,desktop,Returning Visitor,google,1,0,1
/archives/1031,1264731618.1599124540,202010271117,desktop,Returning Visitor,google,1,0,1
/archives/1031,1264731618.1599124540,202010281706,desktop,Returning Visitor,google,1,0,1
/archives/1031,1264731618.1599124540,202010292254,desktop,Returning Visitor,google,1,0,1
/archives/1031,1264731618.1599124540,202010301652,desktop,Returning Visitor,google,1,0,1
/archives/1031,1264731618.1599124540,202010301947,desktop,Returning Visitor,google,1,0,0
/archives/1031,1264731618.1599124540,202011012312,desktop,Returning Visitor,google,1,0,1
